ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:10747:1930		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:10085:1932		IGH.forP4.1_12N	0.7647058823529411
M05295:78:000000000-BJNBT:1:1102:14403:1929		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:21593:1930		IGH.forP2_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9807:1931		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:8025:1932		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:21996:1929		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:8882:1936		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:21971:1933		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:15456:1931		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9471:1931		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:13433:1932		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9858:1932		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:15402:1933		IGH.forP6_12N	0.0
M05295:78:000000000-BJNBT:1:1102:17215:1932		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:19200:1933		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:18151:1932		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:7561:1933		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14998:1932		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:11985:1934		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:16601:1928		IGH.forP4.2_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14459:1934		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14053:1937		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:14480:1931		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:15097:1932		IGH.forP4.1_12N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:19642:1932		IGH.forP2_08N	0.6842105263157895
